n,d,graph_family,graph_seed,num_edges,n_pairs,edge_fraction,SND,SND_G_u,ratio,ratio_reciprocal,abs_distortion,lower_bound,pi_G,upper_bound,lambda_2,spectral_gap,d_max,is_ramanujan,ramanujan_bound,time_full_ms,time_graph_ms,data_source
50,6,random_regular,958,150,1225,0.12244897959183673,0.0046265386044979095,0.004621604923158884,1.001067525550335,0.9989336128451994,4.9336813390254974e-06,0.12244897959183673,60.05344932844933,7.353483591238693,4.031351792293987,0.3281080346176689,6,True,4.47213595499958,149.70826840144582,18.27808929956518,synthetic
50,6,random_regular,10958,150,1225,0.12244897959183673,0.0046265386044979095,0.004629187751561403,0.9994277296135591,1.0005725980673583,2.6491470634937286e-06,0.12244897959183673,56.166666666666664,6.877551020408164,3.8829070675165425,0.3528488220805762,6,True,4.47213595499958,149.7049453901127,18.38232620502822,synthetic
50,6,random_regular,20958,150,1225,0.12244897959183673,0.0046265386044979095,0.004625894129276276,1.0001393190599748,0.9998607003471218,6.444752216339111e-07,0.12244897959183673,54.05222262818171,6.618639505491638,4.080616076505592,0.3198973205824013,6,True,4.47213595499958,149.8657736054156,18.761385296238586,synthetic
50,6,random_regular,30958,150,1225,0.12244897959183673,0.0046265386044979095,0.00462069408968091,1.0012648564703843,0.998736741370467,5.8445148169994354e-06,0.12244897959183673,66.42901314371902,8.134164874741105,4.123187097492918,0.312802150417847,6,True,4.47213595499958,149.37291960814036,18.363336694892496,synthetic
50,6,random_regular,40958,150,1225,0.12244897959183673,0.0046265386044979095,0.004629114642739296,0.9994435138379156,1.0005567960113597,2.5760382413864136e-06,0.12244897959183673,52.272893772893774,6.400762502803319,3.718044199641953,0.3803259667263411,6,True,4.47213595499958,149.02475269627757,18.218267988413572,synthetic
50,6,bernoulli,773,161,1225,0.13142857142857142,0.0046265386044979095,0.004621715284883976,1.0010436211052873,0.9989574669042545,4.823319613933563e-06,0.13142857142857142,67.642562992563,8.89016542187971,4.153912227183108,0.6223716157106265,11,True,6.324555320336759,148.00939841661602,19.674277922604233,synthetic
50,6,bernoulli,10773,143,1225,0.11673469387755102,0.0046265386044979095,0.004561692010611296,1.0142154695529135,0.985983777629442,6.484659388661385e-05,0.11673469387755102,101.54999999999998,11.854408163265305,4.00615530968189,0.6918342069475469,13,True,6.928203230275509,148.2465034991037,17.382678110152483,synthetic
50,6,bernoulli,20773,139,1225,0.11346938775510204,0.0046265386044979095,0.00463050976395607,0.9991423925959357,1.0008583435258271,3.9711594581604e-06,0.11346938775510204,84.85622710622711,9.628584136951483,4.219796773487136,0.5780203226512863,10,True,6.0,147.7125302015338,16.80819210014306,synthetic
50,6,bernoulli,30773,153,1225,0.12489795918367347,0.0046265386044979095,0.004678449593484402,0.9889042324921513,1.0112202649592126,5.191098898649216e-05,0.12489795918367347,65.44323454323454,8.173726436828476,3.8945354944101767,0.7004203465838326,13,True,6.928203230275509,147.82160311588086,18.47737390198745,synthetic
50,6,bernoulli,40773,153,1225,0.12489795918367347,0.0046265386044979095,0.004631198476999998,0.9989938085086979,1.001007204932335,4.659872502088547e-06,0.12489795918367347,98.0,12.24,4.382370965907607,0.6348024195076993,12,True,6.6332495807108,147.86891720141284,18.57853718684055,synthetic
